player,season,masters_date,n_prior_events,sg_total_weighted,sg_app_weighted,sg_putt_weighted,sg_arg_weighted,sg_ott_weighted,sg_t2g_weighted,top10_rate,cut_rate,augusta_fit,masters_appearances,masters_avg_finish,masters_best_finish,masters_wins,recent_form_bonus,l6_sg_total_avg,l6_sg_app_avg,l6_sg_putt_avg,l6_top10_rate,l6_cut_rate,l6_avg_finish,finish_position,made_cut,top32,top16,top10,top5,won
mike weir,2022,2022-04-10,12,-0.8217686096951902,-0.14012047898161023,-0.12428832387837908,0.2555571597289446,-0.8131312384055789,-0.6989735259544455,0.0,0.5,-0.3194821517487197,7,77.28571428571429,51.0,0,0,-0.8960000000000001,0.32,-0.22399999999999998,0.0,0.3333333333333333,73.83333333333333,85.0,0,0,0,0,0,0
matthew wolff,2022,2022-04-10,12,-1.5226446639490472,-1.2826338159563204,-0.03402926236828366,-0.08457605689172616,-0.5956872127529926,-1.9623430024326105,0.16666666666666666,0.6666666666666666,-0.8097844412681365,2,90.5,88.0,0,0,-1.7616666666666667,-1.7383333333333333,-0.17500000000000002,0.0,0.6666666666666666,62.666666666666664,85.0,0,0,0,0,0,0
patrick cantlay,2022,2022-04-10,12,1.4397581854537913,-0.3081047656501747,0.6055212875139936,0.4659831221174864,0.35485881863092006,0.5155356034596629,0.5,0.8333333333333334,0.402185570635798,4,48.5,9.0,0,0,1.5616666666666668,-0.40499999999999997,0.5333333333333333,0.6666666666666666,0.8333333333333334,22.0,39.0,1,0,0,0,0,0
padraig harrington,2022,2022-04-10,12,-0.7533845978140348,0.30256768721357985,-0.7451618773723511,-0.019933925694107922,-0.28741508372610997,-0.00859718319897272,0.08333333333333333,0.5,-0.32405100363538764,1,80.0,80.0,0,0,0.10499999999999998,0.535,-0.19999999999999998,0.0,0.5,61.0,85.0,0,0,0,0,0,0
patrick reed,2022,2022-04-10,12,-0.7918540618931497,-0.741197998867888,0.522947646889309,0.15137291428789912,-0.6821816953291057,-1.2688557636441102,0.16666666666666666,0.75,-0.2853537479117928,7,29.714285714285715,1.0,1,0,-0.915,-0.9333333333333331,0.465,0.0,0.5,61.166666666666664,35.0,1,0,0,0,0,0
russell henley,2022,2022-04-10,12,1.5068222057777227,1.1385121135872998,0.1863071923295793,0.28509838549502436,-0.1657545802710627,1.2575196290926858,0.16666666666666666,1.0,0.7406515504501726,3,15.666666666666666,11.0,0,0,1.7766666666666666,1.2216666666666667,0.2933333333333334,0.16666666666666666,1.0,18.0,30.0,1,1,0,0,0,0
robert macintyre,2022,2022-04-10,12,-0.030543269680524645,-0.03933505548946815,-0.47043589753948883,0.4213256517451376,0.05838912405754785,0.4386937629236378,0.08333333333333333,0.8333333333333334,-0.18561647521993904,1,12.0,12.0,0,0,,,,0.0,1.0,25.0,23.0,1,1,0,0,0,0
rory mcilroy,2022,2022-04-10,12,1.3354507980538641,0.18327332691811835,0.26622965683093996,0.2073269450825018,0.6809128199251409,1.0692211412229242,0.3333333333333333,0.9166666666666666,0.4681660319117365,7,20.0,4.0,0,0,,,,0.3333333333333333,0.8333333333333334,25.833333333333332,2.0,1,1,1,1,1,0
ryan palmer,2022,2022-04-10,12,-0.9529905174040293,0.15901473687944215,-0.9140807799874129,-0.006036103439541494,0.22391147640303255,0.3766423716317333,0.0,0.75,-0.42748488462153716,2,33.5,33.0,0,0,-1.2266666666666666,0.24333333333333332,-0.9783333333333334,0.0,0.6666666666666666,62.333333333333336,85.0,0,0,0,0,0,0
sam burns,2022,2022-04-10,12,1.1797618147862512,0.4364994660797831,0.4113295950880844,0.2207313488084397,-0.08179886357971383,0.5741887941894677,0.5,0.75,0.5153673646058418,0,,,0,0,0.6549999999999999,0.03500000000000003,0.24166666666666667,0.3333333333333333,0.5,46.0,85.0,0,0,0,0,0,0
